principal,variantes,menciones
moro,moorish,28
sol,sun,12
calor,hot,11
mujer,lady,10
moros,moors,7
vendedores,sellers,6
moro,moor,6
procesión,procession,6
calor,heat,5
tradición,custom,5
caridad,charity,4
pobre,poor,4
valiente,brave,4
mujer,woman,4
corrida,corrida,4
belleza,beauty,3
mujeres,women,3
picador,picador,3
café,coffee,3
pintoresco,picturesque,2
orgulloso,proud,2
tradición,tradition,2
sereno,sereno,2
andaluz,andalusian,2
cordobés,cordovan,2
mujer,senora,2
árabe,arabic,2
feria,fair,2
mantillas,mantillas,2
encantador,delightful,1
generoso,generous,1
honesto,honest,1
hospitalidad,hospitality,1
religioso,religious,1
barbero,barber,1
vendedor,seller,1
campesino,peasant,1
árabe,arab,1
árabe,arabian,1
baile,dance,1
fiesta,fiesta,1
fiesta,feast,1
romería,pilgrim,1
virgen,virgin,1
virgen,virgen,1
banderillero,banderillero,1
banderrilleros,banderilleros,1
abanico,fan,1
