principal,variantes,menciones
granada (Granada),granada,43
sevilla (Sevilla),seville,35
córdoba  (Córdoba),cordova,29
ronda (Málaga),ronda,24
cádiz (Cádiz),cadiz,18
algeciras (Cádiz),algeciras,13
Antequera-bobadilla (Málaga),bobadilla,9
baeza (Jaén),baeza,8
jerez de la frontera (Cádiz),jerez,5
utrera (Sevilla),utrera,4
andaluz (gentilicio),andalusian,2
cordobese (gentilicio),cordovan,2
andalucia (comunidad),andalusia,1
jerez de la frontera (Cádiz),sherry,1
córdoba  (Córdoba),cordoba,1
sevilla (Sevilla),sevilla,1
