principal,variantes,menciones
alhambra,alhambra,45
ciudad,town,38
tren,train,22
calles,streets,20
casa,house,19
catedral,cathedral,18
mezquita,mosque,15
mar,sea,14
montañas,mountains,13
patio,court,12
rio,river,12
puente,bridge,10
calle,street,9
plaza,plaza,9
ferrocarril,railway,9
murallas,walls,8
iglesia,church,7
palacio,palace,7
plaza,square,7
camino,road,7
montaña,mountain,7
alcázar,alcazar,6
muralla,wall,5
barrio,quarter,5
mercado,market,5
patio,patio,5
giralda,giralda,4
ruina,ruin,4
ciudades,towns,4
posada,inn,4
hospital,hospital,4
vino,wine,4
puerto,harbour,3
puerto,port,3
pueblo,village,3
camino,route,3
diligencia,carriages,3
guadalquivir,guadalquivir,3
capilla,chapel,2
catedrales,cathedrals,2
iglesias,churches,2
tajo,gorge,2
tajo,tajo,2
casas,houses,2
casa,casa,2
jardín,garden,2
patios,courts,2
mina,mine,2
minas,mine,2
caminos,roads,2
trenes,trains,2
sur,south,2
capilla,capilla,1
puentes,bridges,1
puente,puente,1
puerto,puerto,1
albaicín,albaicin,1
sierpes,sierpes,1
barrios,quarters,1
casa,dwelling,1
casas,dwellings,1
ciudad,ciudad,1
pueblos,villages,1
cortijo,farm,1
parque,parque,1
posadas,inns,1
teatro,theatre,1
cementerio,cemetery,1
vino,sherry,1
tabaco,cigarette,1
camino,camino,1
diligencia,carriage,1
diligencia,diligence,1
ferrocarriles,railways,1
marismas,marismas,1
