principal,variantes,menciones
"alhambra (monumento, propio)",alhambra,45
"toro (viaje, animal)",bull,43
"ciudad (público,común)",town,38
"hotel (consumo, establecimiento)",hotel,22
"tren (viaje, transporte)",train,22
"calle (público,común)",streets,20
"ciudad (público,común)",city,20
"casa (público,común)",house,19
"catedral (monumento, común)",cathedral,18
"mezquita (monumento, propio)",mosque,15
"mar  (espacio natural, común)",sea,14
"montaña  (espacio natural, común)",mountains,13
"patio (público,común)",court,12
"peseta (consumo, objeto)",pesetas,12
"sol (espacio natural, común)",sun,12
"rio  (espacio natural, común)",river,12
"toro (viaje, animal)",bulls,11
"puente (monumento, común)",bridge,10
"calle (público,común)",street,9
"plaza (público,común)",plaza,9
"ferrocarril (viaje, transporte)",railway,9
"caballo (viaje, animal)",horses,9
"muralla (monumento, común)",walls,8
"iglesia (monumento, común)",church,7
"palacio (monumento, común)",palace,7
"plaza (público,común)",square,7
"montaña  (espacio natural, común)",mountain,7
"alcázar (monumento, propio)",alcazar,6
"caballo (viaje, animal)",horse,6
"muralla (monumento, común)",wall,5
"barrio (público,común)",quarter,5
"patio (público,común)",patio,5
"fuente (consumo, objeto)",fountain,5
"mercado (consumo, establecimiento)",market,5
"toro (viaje, animal)",toros,5
"giralda (monumento, propio)",giralda,4
"ruina (monumento, común)",ruin,4
"ciudad (público,común)",towns,4
"hospital (público,común)",hospital,4
"fuente (consumo, objeto)",fountains,4
"vino (consumo, alimentación)",wine,4
"posada (consumo, establecimiento)",inn,4
"mula (viaje, animal)",mule,4
"mula (viaje, animal)",mules,4
"puerto (monumento, común)",harbour,3
"puerto (monumento, común)",port,3
"ciudad (público,común)",cities,3
"pueblo (público,común)",village,3
"café  (consumo, alimentación)",coffee,3
"Carruaje (viaje, transporte)",carriages,3
"guadalquivir  (espacio natural, propio)",guadalquivir,3
"capilla (monumento, común)",chapel,2
"capilla (monumento, común)",chapels,2
"catedral (monumento, común)",cathedrals,2
"iglesia (monumento, común)",churches,2
"casa (público,común)",houses,2
"casa (público,común)",casa,2
"jardín (público,común)",garden,2
"patio (público,común)",courts,2
"capa española (consumo, objeto)",cloak,2
"mantilla  (consumo, objeto)",mantillas,2
"fonda (consumo, establecimiento)",fonda,2
"tren (viaje, transporte)",trains,2
"del sur  (espacio natural, común)",south,2
"mina (espacio natural, común)",mine,2
"capilla (monumento, común)",capilla,1
"claustro (monumento, común)",cloisters,1
"puente (monumento, común)",bridges,1
"puente (monumento, común)",puente,1
"puerto (monumento, común)",puerto,1
"albaicín (público,propio)",albaicin,1
"sierpes (público,propio)",sierpes,1
"barrio (público,común)",quarters,1
"casa (público,común)",dwelling,1
"casa (público,común)",dwellings,1
"ciudad (público,común)",ciudad,1
"pueblo (público,común)",villages,1
"cortijo (público,común)",farm,1
"parque (público,común)",parque,1
"plaza (público,común)",plazas,1
"teatro (público,común)",theatre,1
"cementerio (público,común)",cemetery,1
"paseo (público,común)",paseo,1
"molino (consumo, objeto)",mills,1
"fuente (consumo, objeto)",fuente,1
"peseta (consumo, objeto)",peseta,1
"abanico (consumo, objeto)",fan,1
"capa española (consumo, objeto)",cloaks,1
"vino (consumo, alimentación)",sherry,1
"tabaco (consumo, alimentación)",cigarette,1
"café  (consumo, alimentación)",cafes,1
"uva (consumo, alimentación)",grapes,1
"bodega (consumo, establecimiento)",bodegas,1
"posada (consumo, establecimiento)",inns,1
"Carruaje (viaje, transporte)",carriage,1
"diligencia (viaje, transporte)",diligence,1
"ferrocarril (viaje, transporte)",railways,1
"burro (viaje, animal)",donkeys,1
"marismas  (espacio natural, común)",marismas,1
