principal,variantes,menciones
calor,sun,47
procesión,procession,45
andaluz,andalusian,38
moro,moor,31
abanico,fan,31
mujer,lady,27
mujer,girl,25
plaza de toros,bull-fight,25
virgen,virgin,24
procesión,pageant,22
calor,heat,17
pobre,poor,16
campesino,peasant,16
árabe,arab,16
moro,moorish,16
baile,dance,16
feria,fair,15
plaza,plaza,14
orgulloso,proud,13
tradición,custom,13
calor,hot,12
mujer,senora,12
cofradía,cofradia,11
romería,pilgrim,11
belleza,beauty,10
mendigo,beggar,10
feria,feria,10
paso,paso,9
semana santa,holy week,9
mantilla,shawl,9
religioso,religious,8
sevillano,sevillian,8
mujer,senorita,8
caseta,caseta,8
mujer,woman,7
carnaval,carnival,7
corrida,corrida,7
granadino,granadine,6
guardia civil,civil guard,6
mantilla,mantilla,6
caridad,charity,5
hospitalidad,hospitality,5
pastor,shepherd,5
árabe,arabian,5
semana santa,passion week,5
guitarra,guitar,5
velo,veil,5
pintoresco,picturesque,4
patriota,patriot,4
orgullo,pride,4
tradición,tradition,4
hacedor,maker,4
árabe,arabe,4
musulmán,moslem,4
corpus christi,corpus christi,4
paseo,promenade,4
alegre,cheerful,3
honesto,honest,3
vendedor,seller,3
vagabundo,tramp,3
semana santa,semana santa,3
virgen,virgen,3
torero,torero,3
caridad,caridad,2
delicioso,delicious,2
honestidad,honesty,2
pobre,pobre,2
pastor,pastor,2
gitano,gitano,2
mendigo,mendicant,2
árabe,arabic,2
fiesta,fiesta,2
café,coffee,2
velo,velo,2
amable,friendly,1
encantador,delightful,1
generoso,generous,1
patriota,patriotic,1
siesta,siesta,1
valiente,brave,1
violento,violent,1
lechero,milkman,1
sereno,sereno,1
sevillana,sevillana,1
sevillano,sevillan,1
bandolero,bandit,1
contrabandista,contrabandista,1
gitano,gitanos,1
copla,copla,1
tertulia,conversation,1
capa,capa,1
