principal,variantes,menciones
andalucia,andalusia,64
sevilla,seville,64
granada,granada,48
cádiz,cadiz,21
córdoba,cordova,14
vera,vera,10 (ERROR, ES DE SEVERAL)
ronda,ronda,7
jerez de la frontera,jerez,5
el puerto de santa maría,santa maria,2 (REALMENTE UNA, PUES LA OTRA HACE REFERENCIA A LA VIRGEN)
san fernando,san fernando,2 (NO HACE REFERENCIA A LA CIUDAD, SINO A LA PLAZA DE SEVILLA)
málaga,malaga,2
sanlúcar de barrameda,san lucar de barrameda,1
jerez de la frontera,sherry,1
baza,baza,1 (ERROR, DE BAZAN)
guadix,guadix,1
écija,ecija,1
santiponce,italica,1
sevilla,sevilla,1
